Orthologous_group	Scerevisiae	Calbicans
OG2275	YIL010W	C3_00480C_A
OG2276	YLR253W	C5_01490C_A
OG2277	YJL197W	C1_06530C_A
OG2278	YPL020C	CR_03820C_A
OG2279	YLR075W	
OG2280	YBR081C	CR_09980W_A
OG2281	YIL128W	C3_01450C_A
OG2282	YML022W	
OG2283	YMR041C	C4_00380W_A
OG2286	YBL055C	CR_01550C_A
OG2287	YJR033C	C3_00630W_A
OG2288	YEL006W	C2_09610W_A
OG2289	YPR088C	CR_01110W_A
OG2290	YKL024C	C1_04420C_A
OG2291	YNL290W	C5_04000W_A
OG2292	YBR236C	
OG2293	YNL227C	CR_03240C_A
OG2294	YOR191W	C4_00460C_A
OG2295	YJL010C	C1_04040C_A
OG2296	YAL013W	C2_04130W_A
OG2298	YMR061W	C2_02150C_A
OG2299	YIL021W	C4_05630W_A
OG2301	YGL244W	C7_00720W_A
OG2302	YCL034W	C2_09710C_A
OG2303	YNL083W	C2_09510C_A
OG2304	YPL211W	C6_02360W_A
OG2306	YHR077C	
OG2307	YHR111W	C1_10930C_A
OG2308	YLR017W	C3_03790W_A
OG2309	YOR271C	C1_09470C_A
OG2310	YDR320C	CR_08030C_A
OG2312	YNL232W	C1_03830C_A
OG2313	YHR102W	C2_04760W_A
OG2314	YLR166C	C4_07190W_A
OG2315	YEL052W	C4_06430C_A
OG2316	YDR376W	C2_04880C_A
OG2317	YEL042W	C3_06120C_A
OG2318	YMR218C	C4_05790W_A
OG2320	YOL041C	C2_04120C_A
OG2321	YMR099C	
OG2322	YER165W	C1_03370W_A
OG2323	YPR108W	CR_08910C_A
OG2325	YDR324C	C3_02130W_A
OG2326	YLR196W	C4_01450W_A
OG2327	YPL133C	CR_05530C_A
OG2328	YPL122C	CR_05560W_A
OG2329	YNL308C	C3_02350W_A
OG2330	YBR087W	C2_00950C_A
OG2332	YBR127C	CR_05780W_A
OG2333	YGL100W	C2_07950W_A
OG2334	YBL050W	
OG2335	YGR187C	C4_02050W_A
OG2336	YGR024C	C7_00560C_A
OG2337	YDR097C	C1_13170C_A
OG2338	YLR186W	C1_11380W_A
OG2339	YIR004W	C1_10480W_A
OG2340	YNR029C	C7_02960C_A
OG2342	YML010W	C2_01480W_A
OG2343	YKL120W	C3_06220C_A
OG2345	YPL242C	C7_01840W_A
OG2346	YBR200W	C4_01410W_A
OG2347	YFL045C	C1_02480W_A
OG2348	YPR184W	C4_05140C_A
OG2349	YMR284W	C1_11810W_A
OG2350	YFR038W	C3_01310W_A
OG2351	YHR085W	CR_03940W_A
OG2352	YDL230W	CR_08070W_A
OG2354	YBL106C	C6_00410C_A
OG2355	YGL011C	C3_00770C_A
OG2356	YBR153W	C1_12810W_A
OG2357	YBR248C	C7_03720C_A
OG2358	YKL194C	C1_02930C_A
OG2359	YBR276C	C7_00840C_A
OG2360	YMR285C	C6_02580W_A
OG2361	YBL040C	C4_02460W_A
OG2362	YGL083W	C1_04780C_A
OG2364	YLR452C	C5_02160W_A
OG2365	YJR010W	C1_13870W_A
OG2366	YGL150C	CR_04720C_A
OG2368	YAL010C	
OG2369	YBR256C	C5_05300W_A
OG2370	YLR314C	C1_04210C_A
OG2371	YLR055C	C5_02900W_A
OG2374	YJL092W	C3_05010C_A
OG2375	YNL329C	C2_05440W_A
OG2376	YBR061C	C3_07400W_A
OG2378	YML046W	C2_01830W_B
OG2379	YJR070C	C2_07290W_A
OG2380	YNL256W	C5_00770C_A
OG2381	YJL080C	C1_11860W_A
OG2382	YMR296C	CR_08640C_A
OG2383	YCR047C	C5_01060C_A
OG2384	YJR105W	C6_03080C_A
OG2385	YDL063C	CR_08500W_A
OG2386	YKL009W	C6_02770W_A
OG2387	YNL006W	
OG2388	YBR055C	
OG2390	YBL041W	C4_02470C_A
OG2393	YHL004W	C6_03730C_A
OG2394	YNL169C	
OG2395	YGR033C	C1_02350W_A
OG2397	YML042W	C4_02020W_A
OG2398	YBR257W	C6_02910W_A
OG2400	YLR084C	C1_12510W_A
OG2403	YDR233C	C4_04800W_A
OG2404	YDL226C	C1_02260C_A
OG2405	YJR064W	C2_07310W_A
OG2407	YDR301W	C4_02430W_A
OG2408	YGR221C	CR_00490W_A
OG2409	YGR244C	CR_06760C_A
OG2410	YHR193C	C3_04140C_A
OG2411	YCR073W-A	C2_09970C_A
OG2412	YNL267W	C5_01765C_B
OG2413	YJL180C	C1_02290C_A
OG2414	YPL101W	C1_12570C_A
OG2415	YLR148W	C6_03020W_A
OG2417	YKR084C	C7_04260W_A
OG2418	YGR252W	CR_06710C_A
OG2419	YGL048C	C2_08780W_A
OG2420	YGR216C	C3_05390C_A
OG2421	YNL032W	CR_06830C_A
OG2422	YBR291C	C3_04270C_A
OG2423	YML007W	C3_02220W_A
OG2424	YOL124C	C3_05140C_A
OG2425	YLR243W	C4_06790W_A
OG2427	YLR189C	CR_02160W_B
OG2428	YPL222W	C1_10730W_A
OG2430	YDR299W	CR_10470C_A
OG2431	YLR289W	C2_06200C_A
OG2432	YDL119C	CR_04920W_A
OG2433	YLL018C	CR_03170W_A
OG2434	YNL178W	CR_04810W_A
OG2436	YJR095W	C5_04440C_A
OG2438	YHR100C	C6_01340C_A
OG2439	YJL090C	C2_08380C_A
OG2441	YGL020C	C2_00320W_A
OG2442	YOR196C	C4_02290W_A
OG2443	YJR072C	
OG2446	YNL127W	C7_02670W_B
OG2447	YDR405W	C1_01600W_A
OG2448	YBL080C	C1_05610W_A
OG2450	YMR302C	CR_03810W_A
OG2451	YNR015W	C2_09890W_A
OG2452	YHR052W	C6_01170W_A
OG2453	YAR015W	
OG2454	YKL017C	C1_07050C_A
OG2455	YHL032C	CR_05220C_A
OG2456	YEL053C	C3_02210C_A
OG2457	YKR023W	CR_03330W_A
OG2458	YDL166C	
OG2459	YOR362C	C7_01470C_A
OG2460	YMR262W	C3_07450C_A
OG2461	YJR007W	
OG2462	YJL127C	CR_07040W_A
OG2464	YHR115C	C6_00260W_B
OG2465	YLR056W	C1_04770C_A
OG2466	YDR268W	C5_02770W_A
OG2467	YDR221W	
OG2468	YLR175W	C1_10620W_A
OG2469	YKL080W	C2_08190W_A
OG2470	YGL221C	C4_05960W_A
OG2471	YGL043W	C1_01860W_A
OG2472	YNL007C	CR_06080W_A
OG2473	YKR054C	C3_05210C_A
OG2474	YOR075W	C7_04270C_A
OG2475	YIR008C	C5_05350W_A
OG2476	YKL034W	C6_04470C_A
OG2477	YBR101C	C6_00760W_A
OG2478	YPR089W	C1_04860W_A
OG2479	YDL132W	C3_01700W_A
OG2480	YIL064W	C2_05520W_A
OG2481	YLR399C	C5_00200C_A
OG2482	YOR119C	C1_10950C_A
OG2483	YGL213C	C6_03890C_A
OG2484	YHR069C	C4_03740W_A
OG2486	YKR071C	CR_02650C_A
OG2487	YLR451W	C5_02180C_A
OG2488	YER002W	C2_09660W_A
OG2490	YOR250C	C3_03840C_A
OG2491	YBR079C	C1_12770W_A
OG2492	YPR105C	C2_05680W_A
OG2493	YML018C	C3_06420C_A
OG2494	YER080W	C1_01250W_A
OG2495	YGL125W	C3_02950C_A
OG2496	YDR237W	C2_07680W_A
OG2498	YHR190W	C2_08610W_A
OG2499	YLR077W	C1_02490C_A
OG2500	YDR460W	C5_00690C_A
OG2501	YMR259C	C2_10820C_A
OG2502	YER126C	C3_06380W_A
OG2504	YKL027W	C2_00170C_A
OG2505	YOR349W	C3_01070C_A
OG2506	YML086C	CR_09790W_A
OG2507	YIL110W	C1_09040C_B
OG2509	YDR372C	C2_02000W_A
OG2511	YMR231W	C4_05910C_A
OG2512	YGL163C	C1_13660W_A
OG2513	YHR200W	C2_06150C_A
OG2514	YOR311C	C2_00790C_A
OG2515	YDR002W	CR_00580W_A
OG2517	YGR119C	CR_02610C_A
OG2518	YJL020C	C1_07540C_B
OG2519	YDL040C	C5_01870W_B
OG2520	YNL315C	C7_01350C_A
OG2521	YOR113W	CR_02510W_A
OG2522	YBR011C	C2_08810C_A
OG2523	YBR114W	C1_02810W_A
OG2524	YOR346W	C4_06020C_A
OG2525	YML096W	C2_08530C_A
OG2526	YHR064C	C4_04700W_A
OG2527	YDL148C	
OG2528	YDR365C	C1_10970W_A
OG2529	YGR210C	C1_09810W_A
OG2530	YNL085W	C4_03290W_B
OG2531	YGL085W	C1_13770C_A
OG2532	YPL249C	C2_10610W_A
OG2533	YDR325W	C3_02230C_A
OG2535	YLR032W	C2_00350W_A
OG2537	YDR044W	C3_04060C_A
OG2538	YFL033C	C7_00740W_A
OG2539	YGL059W	
OG2540	YHR024C	C5_01640W_A
OG2542	YDL234C	C7_03490W_A
OG2543	YLR029C	CR_04100C_A
OG2544	YLR330W	C2_04140W_A
OG2545	YDR176W	C1_03290W_A
OG2547	YDL047W	C1_04380W_A
OG2548	YDR087C	C3_06760W_A
OG2549	YNL059C	CR_04180C_A
OG2551	YPR186C	C2_04860W_A
OG2552	YER023W	C4_00240C_A
OG2553	YDR449C	C1_10880W_A
OG2555	YLR015W	C5_04780W_A
OG2557	YDR294C	C3_03680W_A
OG2558	YGR135W	C3_03520C_A
OG2559	YKR035W-A	
OG2560	YPR045C	
OG2562	YDL015C	C1_01050C_A
OG2563	YIL144W	CR_02680W_A
OG2564	YMR185W	C7_04150W_A
OG2567	YMR220W	C4_01870C_A
OG2568	YHR188C	C4_03130W_A
OG2569	YBL089W	C6_04110W_A
OG2570	YDL147W	C5_05380W_A
OG2571	YMR278W	C3_07490W_A
OG2572	YML001W	C2_06910W_A
OG2573	YBR035C	CR_04590C_A
OG2574	YOR042W	C1_05170C_A
OG2576	YNL207W	CR_08100C_A
OG2577	YCL009C	C4_01370W_B
OG2578	YDR196C	C5_05130C_A
OG2579	YNL325C	C6_03040C_A
OG2581	YGR028W	CR_03640C_A
OG2582	YNL272C	C1_12970C_A
OG2583	YNL075W	CR_07950W_A
OG2586	YDL029W	CR_08950W_A
OG2588	YBL068W	C4_01820C_A
OG2590	YKL013C	CR_01040C_A
OG2591	YKR062W	C1_10120C_A
OG2592	YMR290C	C5_04750C_A
OG2593	YJL168C	C2_10250C_A
OG2594	YPR066W	
OG2595	YML103C	C1_09450C_A
OG2596	YER049W	C4_05460C_A
OG2597	YDL116W	C4_03800C_A
OG2598	YKL125W	C2_00030W_A
OG2599	YBR105C	C3_06560W_A
OG2601	YOR141C	C1_01700W_B
OG2602	YHR194W	C1_02960C_A
OG2603	YGR227W	C3_05340W_A
OG2605	YKR043C	C2_07790C_A
OG2608	YPL263C	C1_13720W_A
OG2609	YGR223C	
OG2610	YJR036C	C3_04420W_A
OG2611	YNL139C	C2_04870C_A
OG2612	YHR154W	C2_01400C_A
OG2613	YKR038C	C4_04920W_A
OG2614	YIL093C	C1_08920W_A
OG2615	YOR336W	C3_02960C_A
OG2616	YNL313C	C2_10740C_A
OG2617	YDR427W	C2_01320W_A
OG2619	YGR284C	C4_02120W_A
OG2620	YAL025C	C2_06360C_A
OG2621	YLR023C	C6_03800C_A
OG2622	YGL078C	C1_10030W_A
OG2623	YGR003W	
OG2624	YDL159W	CR_03900W_A
OG2625	YGL172W	C1_13550C_A
OG2626	YML031W	C6_00560W_A
OG2629	YLR142W	C5_02600W_A
OG2630	YGL233W	C4_04290W_A
OG2631	YDL104C	C4_00810C_A
OG2632	YGR200C	C4_02850W_A
OG2633	YHR082C	C1_07380C_A
OG2634	YJL062W	C1_05070C_A
OG2635	YEL051W	C4_06400C_A
OG2637	YAR035W	C1_01740W_A
OG2638	YJL204C	C5_01720C_A
OG2639	YLR283W	
OG2640	YJL046W	C6_02900C_A
OG2642	YJL128C	C3_06070C_A
OG2643	YMR076C	
OG2644	YBR039W	CR_01310W_A
OG2645	YJR073C	C3_06570C_A
OG2646	YNR030W	C7_02970W_A
OG2648	YJL106W	CR_03290C_A
OG2649	YML060W	C7_03910W_A
OG2650	YDR416W	C4_06410W_A
OG2651	YGR012W	C6_02960W_A
OG2652	YNL289W	C5_03310C_A
OG2653	YGR002C	CR_00400C_A
OG2654	YJR057W	C1_11790W_A
OG2655	YOR202W	C2_04810W_A
OG2656	YKR014C	C1_14100W_A
OG2657	YBL020W	CR_04280C_A
OG2659	YER157W	C1_07270W_A
OG2660	YJL203W	C4_01280C_A
OG2661	YIL104C	C2_05830C_A
OG2662	YMR024W	C1_07910C_A
OG2664	YFR009W	C1_00480C_A
OG2665	YMR080C	C5_00500W_A
OG2667	YCL031C	C2_02710C_A
OG2668	YOR005C	C2_03030W_A
OG2669	YGR261C	C4_03560W_A
OG2670	YDL212W	
OG2671	YDR105C	C1_12580W_A
OG2672	YDR198C	C5_05150C_A
OG2673	YMR092C	CR_03520C_A
OG2675	YPL050C	C3_06020W_A
OG2676	YMR221C	CR_04760C_A
OG2677	YNL037C	C1_09630W_A
OG2678	YMR208W	C1_09460W_A
OG2679	YDL167C	C1_08000W_A
OG2680	YGL136C	CR_10260W_A
OG2681	YKL045W	C4_06490C_A
OG2682	YDL090C	C4_03900C_A
OG2683	YLR429W	C7_01850C_A
OG2684	YOR125C	C5_01290C_A
OG2685	YOL003C	C7_01480W_A
OG2686	YML105C	CR_01660C_A
OG2687	YJR131W	C1_03730C_A
OG2688	YOR245C	C3_03760W_A
OG2689	YJL039C	CR_00230W_A
OG2690	YOL147C	C6_04310W_A
OG2691	YLR127C	C3_06810W_A
OG2692	YKL021C	C4_05330C_A
OG2694	YNR017W	C2_09900C_A
OG2695	YNR021W	C2_07010W_A
OG2696	YER094C	C7_03390C_A
OG2697	YGL241W	C7_00340C_A
OG2698	YGR009C	C6_01100W_A
OG2700	YGL095C	C6_03300C_A
OG2701	YDR298C	C3_00460W_A
OG2702	YJL024C	C1_08480C_A
OG2703	YMR079W	C5_00480C_A
OG2704	YLL041C	CR_05180C_A
OG2705	YJL126W	CR_08840C_A
OG2706	YER021W	C1_03520W_A
OG2707	YDR117C	C1_01900C_A
OG2708	YMR214W	C6_01460C_A
OG2709	CR_04350C_A	
OG2710	YML127W	C1_05780W_A
OG2711	YPL040C	CR_03400W_A
OG2713	YGR046W	C5_02260C_A
OG2716	YDR132C	C4_02520C_A
OG2717	YBR037C	CR_09300C_A
OG2719	YMR313C	C4_00950C_A
OG2720	YIL140W	
OG2721	YOR303W	C4_01550C_A
OG2722	YNL320W	CR_10500C_A
OG2723	YOR132W	C1_01550W_A
OG2724	YLR215C	
OG2726	YGR278W	C2_10100W_A
OG2728	YMR075W	C7_02110W_A
OG2729	YGL216W	C3_05720C_A
OG2731	YBR154C	
OG2732	YMR097C	CR_03380W_A
OG2734	YER019W	CR_05830C_A
OG2735	YDL108W	
OG2737	YCR072C	C4_05010W_A
OG2738	YOR067C	C3_01880W_A
OG2739	YDL135C	C3_05000W_A
OG2740	YDR226W	C6_01910W_A
OG2741	YOR040W	C2_09260C_A
OG2742	YGR138C	C1_08790W_A
OG2743	YLR066W	C1_13020C_A
OG2744	YNL251C	C5_00790C_A
OG2745	YKL033W	C1_03630W_A
OG2746	YIL094C	CR_01400W_A
OG2747	YOR262W	C5_02020C_A
OG2748	YGL064C	C6_02380W_A
OG2749	YJR075W	C6_01390W_A
OG2750	YJL069C	C7_04190C_A
OG2752	YOR323C	C3_07220C_A
OG2753	YFL027C	C5_02910C_A
OG2754	YCR009C	C7_00020C_A
OG2755	YMR311C	C4_02860W_A
OG2756	YLR191W	
OG2757	YGL225W	C1_07700C_A
OG2758	YGL018C	C2_00290W_A
OG2759	YGL073W	C1_09170W_B
OG2761	YBR271W	C2_02960C_A
OG2762	YLR195C	C4_01440W_A
OG2763	YOR301W	C3_04490W_A
OG2766	YMR131C	C1_12680W_A
OG2767	YGL212W	C6_00240C_A
OG2768	YLR005W	C2_01490C_A
OG2769	YMR012W	C1_04970W_A
OG2770	YBR261C	
OG2771	YFR002W	C2_01220W_A
OG2772	YOL010W	C2_07450C_A
OG2774	YGR267C	C5_04720C_A
OG2775	YDL033C	C1_14330W_A
OG2776	YOR033C	C5_00630C_A
OG2777	YPR176C	CR_09890C_A
OG2778	YDL087C	C4_06930C_A
OG2780	YHR030C	
OG2782	YHR075C	C2_01520W_A
OG2783	YGR255C	
OG2785	YJR099W	C1_06390W_A
OG2788	YJR069C	C5_03860W_A
OG2789	YMR077C	C2_03310C_A
OG2790	YOR334W	CR_01960C_A
OG2793	YLR105C	C4_02640C_A
OG2795	YCR059C	CR_00820C_A
OG2796	YGR235C	C1_05490C_A
OG2797	YFL005W	CR_01750C_A
OG2798	YIR012W	C5_05340W_A
OG2799	YDR498C	C6_02570C_A
OG2800	YPL002C	C5_01620C_A
OG2801	YKL101W	C5_02840C_A
OG2802	YDR180W	C4_07220C_A
OG2803	YPL045W	C1_04540C_A
OG2804	YNL240C	C1_09010W_B
OG2807	YER178W	C4_07110C_A
OG2809	YPL150W	C2_04360W_A
OG2810	YNL138W	CR_04190W_A
OG2811	YPR097W	C6_03330C_A
OG2812	YNL292W	C5_01180W_A
OG2813	YLR085C	C1_10330C_A
OG2816	YNL124W	CR_04110W_A
OG2818	YLR362W	C2_03770C_A
OG2820	YPR036W	CR_05080W_A
OG2821	YMR010W	C1_04340C_A
OG2822	YDR245W	C4_00310C_A
OG2823	YDR244W	
OG2824	YHR004C	C4_01300W_A
OG2825	YMR314W	C7_04020C_A
OG2827	YDR228C	C6_01920C_A
OG2829	YLR335W	C5_03550W_A
OG2830	YDL207W	
OG2832	YNL082W	C2_09470C_A
OG2833	YJR001W	C7_00230W_A
OG2834	YLR114C	C7_02350C_B
OG2835	YPR021C	C1_13400C_A
OG2837	YKL001C	C5_00430W_A
OG2838	YPL209C	C6_02320C_B
OG2839	YJR068W	C7_00820W_A
OG2840	YMR035W	C5_00860W_A
OG2841	YPR160W	C7_00930W_A
OG2842	YDR084C	
OG2843	YOL092W	C3_05900W_A
OG2844	YKL082C	C2_08180C_A
OG2846	YLR405W	C5_00290W_A
OG2847	YPR110C	C2_05340C_A
OG2848	YER007C-A	C4_06170C_A
OG2850	YDL113C	C4_03810W_A
OG2852	YDL103C	C5_02530W_A
OG2853	YBL084C	CR_01230C_A
OG2855	YBL052C	CR_01540W_A
OG2856	YKL144C	C1_05230W_A
OG2857	YPL152W	C3_03830W_A
OG2859	YGR282C	C4_02250C_A
OG2860	YER087W	CR_01480W_A
OG2861	YDR419W	C2_03540W_A
OG2862	YKR095W	C4_01060W_A
OG2863	YNL035C	CR_01410C_A
OG2864	YOL033W	CR_03110W_A
OG2866	YJL036W	
OG2867	YEL007W	C1_10150W_A
OG2868	YML004C	C1_00500C_A
OG2869	YBR002C	C5_05330C_A
OG2871	YPR167C	C4_07030W_A
OG2872	YLR459W	C5_03120W_A
OG2873	YOL146W	C7_00530C_A
OG2874	YAR003W	C3_00690C_A
OG2876	YKR087C	C4_04550C_A
OG2878	YGR246C	CR_05650W_A
OG2879	YDR142C	C6_00880W_A
OG2880	YFL034W	CR_01770C_A
OG2882	YBR176W	C1_00510W_A
OG2883	YMR078C	
OG2885	YBR231C	
OG2886	YDL111C	
OG2887	YDR101C	C1_03230C_A
OG2889	YGL116W	C6_01150W_A
OG2892	YIL030C	C7_02860C_A
OG2893	YBR056W	C1_14060W_A
OG2894	YOR307C	C6_00590W_A
OG2895	YDR473C	C2_03200W_A
OG2897	YGL045W	C1_00150C_A
OG2898	YLR071C	C5_03160W_A
OG2901	YOR002W	CR_06900C_A
OG2903	YOL096C	C6_01840C_A
OG2905	YGR074W	
OG2906	YPR060C	C1_11500C_A
OG2908	YDR194C	C1_08810C_A
OG2910	C6_02460C_A	
OG2911	YMR100W	C3_06210C_A
OG2912	YOL052C	C5_00700C_B
OG2914	YIL019W	C4_05650W_A
OG2918	YCR077C	C4_04870C_A
OG2919	YBR046C	C2_07070W_A
OG2920	YGR276C	C1_07090C_A
OG2921	YGR062C	C5_04620C_A
OG2922	YJR113C	C5_05250C_A
OG2923	YDR398W	
OG2924	YNL129W	CR_04230W_A
OG2925	YJR054W	C7_01620C_A
OG2926	YOR212W	C2_04210W_A
OG2928	YML080W	C2_09500W_A
OG2929	YGR163W	CR_03180W_A
OG2930	YCL018W	C7_00400W_A
OG2931	YML121W	C2_08600W_A
OG2932	YPR085C	C6_03110C_A
OG2934	YAL039C	C5_01130W_A
OG2935	YPL083C	C3_05800W_A
OG2936	YPL111W	C5_04490C_A
OG2937	YDR412W	C1_07950C_A
OG2938	YAL020C	CR_08320W_A
OG2939	YLR244C	C4_06850C_A
OG2940	YGR048W	C2_02730W_A
OG2941	YDR330W	C1_07390W_A
OG2942	YAL036C	C1_08100W_A
OG2943	YGL231C	C7_03980W_A
OG2944	YDR166C	C6_04170C_A
OG2946	YNL010W	C2_07140W_A
OG2948	YIL075C	C1_12050W_A
OG2949	YJL081C	C6_03350C_B
OG2950	YHR169W	CR_05630W_A
OG2951	YDR429C	
OG2953	YFR050C	C5_02230W_A
OG2955	YGR099W	C7_00210C_A
OG2956	YER026C	C1_11240C_A
OG2957	YFR021W	C1_00430W_A
OG2958	YNL022C	CR_02030C_A
OG2959	YML064C	C1_03080C_A
OG2960	YOR176W	C2_07490W_A
OG2961	YMR171C	C4_02920W_A
OG2962	YOR254C	
OG2963	YDR470C	C5_04170W_A
OG2964	YOR260W	CR_03990C_A
OG2965	YLR201C	CR_09590W_A
OG2966	YDR316W	C4_03780C_A
OG2967	YJL091C	C2_05730C_A
OG2970	YCR036W	C1_12780W_A
OG2975	YMR240C	CR_10060W_A
OG2976	YOR289W	C2_00770W_A
OG2977	YML130C	
OG2978	YPL126W	C4_03030C_A
OG2979	YDR481C	C1_08780W_A
OG2981	YKL179C	C2_03800C_A
OG2983	YLR361C	C2_03780C_A
OG2985	YPL030W	C1_04530C_A
OG2986	YEL009C	C2_09940W_A
OG2988	YDR337W	CR_01370C_A
OG2989	YGL210W	CR_07520C_A
OG2990	YOR149C	C2_03070C_A
OG2991	YDL056W	C3_04110C_A
OG2992	YDR267C	C5_02730C_A
OG2993	YDR069C	
OG2994	YLL035W	
OG2995	YHL031C	C7_01740C_A
OG2996	YOL094C	
OG2997	YIL153W	C3_07080W_A
OG2998	YLR207W	C6_00310W_A
OG2999	YGL065C	C6_04030W_A
OG3000	YPL227C	CR_02790C_A
OG3001	YBR213W	
OG3002	YOR224C	CR_04780W_A
OG3003	YNR038W	CR_07750C_A
OG3004	YDL209C	
OG3007	YFL034C-B	C1_00620W_A
OG3008	YKL088W	CR_00980C_A
OG3010	YDL051W	C1_07500C_A
OG3011	YMR227C	C2_02500W_B
OG3013	YNR020C	C2_06950C_A
OG3014	YHR172W	CR_06740W_A
OG3016	YDL217C	C2_08310W_A
OG3017	YML014W	
OG3018	YFR025C	C7_03650W_A
OG3019	YDR348C	C3_01890C_A
OG3020	YPR004C	C6_04560W_A
OG3021	YCR034W	C1_12790C_A
OG3022	YDR496C	C2_05160C_A
OG3023	YPL147W	CR_00330C_A
OG3024	YBR026C	C3_00200C_A
OG3025	YGR277C	C2_10060C_A
OG3026	YNL181W	C1_06770W_A
OG3028	YIL042C	
OG3030	YJR024C	C5_02820C_A
OG3031	YMR223W	C2_10140W_A
OG3032	YHR132C	C3_03030C_A
OG3033	YGR014W	C2_01780W_A
OG3036	YGR270W	C5_04640C_A
OG3039	YFL038C	C1_03500W_A
OG3040	YER122C	C3_00240C_A
OG3041	YDR173C	C2_09730C_A
OG3043	YDR408C	C2_03090C_A
OG3045	YHR045W	C5_05200C_A
OG3046	YLR248W	C2_07130C_A
OG3047	YDR036C	C1_03320C_A
OG3049	YPR135W	C1_06630W_A
OG3052	YBR289W	C3_04290C_A
OG3054	YLR087C	C5_00330C_A
OG3055	YBR102C	C6_01280W_A
OG3056	YNL094W	C3_01510W_A
OG3057	YIL096C	C3_05860C_A
OG3058	YDL112W	C4_03830W_A
OG3059	YNL242W	C2_06010W_A
OG3062	YBR003W	CR_00570W_A
OG3064	YOL073C	C3_05110W_A
OG3065	YDR354W	C4_07090C_A
OG3066	YIR026C	CR_03570C_A
OG3068	YDR392W	
OG3069	YML110C	C2_05470W_A
OG3072	YMR166C	C4_00820W_A
OG3073	YDR452W	C7_00980W_A
OG3074	YDL045C	C1_08650C_A
OG3075	YML021C	C3_06400C_A
OG3076	YGR149W	
OG3078	YKR051W	C3_05430W_A
OG3080	YJL140W	
OG3083	YKR068C	C2_02870W_A
OG3084	YFL013C	C2_03900C_A
OG3085	YDR322W	
OG3086	YBR279W	C2_08630C_A
OG3090	YBR034C	
OG3091	YIL039W	C3_00470W_A
OG3093	YBL013W	C4_06070C_A
OG3094	YBR095C	C4_01780C_A
OG3095	YPR118W	C2_01160W_A
OG3098	YOR175C	
OG3100	YIL155C	C4_06760W_A
OG3101	YGL169W	C7_00330C_A
OG3102	YLR436C	C1_03050W_A
OG3103	YFR006W	C1_14450C_A
OG3104	YNL048W	C6_02270C_A
OG3105	YPR180W	CR_02770C_A
OG3106	YHL023C	CR_08680C_A
OG3107	YJR062C	C2_03700W_A
OG3108	YKL211C	C1_12210W_A
OG3110	YEL012W	C1_01830C_A
OG3112	YDR284C	C7_02500C_A
OG3114	YOR143C	C5_03840W_B
OG3116	YOR239W	C1_02190W_A
OG3117	YGR158C	CR_02550C_A
OG3118	YPL218W	C6_02220W_A
OG3119	YDL105W	C4_00800W_A
OG3120	YHR025W	C5_00650C_A
OG3121	YNL200C	C1_02220C_A
OG3122	YKL188C	C1_12100C_A
OG3125	YDR517W	C1_03690W_A
OG3128	YGR036C	C1_02250W_A
OG3129	YDR189W	C4_06810C_A
OG3130	YMR137C	C1_02390W_A
OG3131	YIL022W	C3_00250C_A
OG3132	YKL091C	C5_00490C_A
OG3133	YER093C	CR_07580C_A
OG3134	YDL193W	C3_04940W_A
OG3135	YHR088W	C4_03270W_A
OG3137	YOL093W	C2_06480W_A
OG3140	YNL284C	C2_05000C_A
OG3141	YGL097W	C7_02780W_B
OG3143	YLR059C	C2_01580W_A
OG3144	YBR133C	
OG3145	YER120W	
OG3146	YJR098C	
OG3147	YHL024W	C4_03460C_A
OG3149	YER168C	C4_00880W_A
OG3150	YOR091W	C3_01520C_A
OG3151	YGR194C	
OG3152	YMR149W	
OG3153	YBR146W	C1_12340C_A
OG3154	YIR011C	
OG3155	YFR052W	
OG3156	YBR123C	C4_01910W_A
OG3157	YJR134C	C3_07740W_A
OG3159	YOR281C	C2_10120W_A
OG3161	YPR155C	C3_03510C_A
OG3163	YBR193C	C2_04530W_A
OG3164	YKL178C	C1_05620C_A
OG3165	YBR053C	C4_02760C_A
OG3168	YIL044C	C2_09580W_A
OG3169	YBR074W	C2_10870W_A
OG3170	YPL153C	C3_03810W_A
OG3172	YOL022C	C7_02930C_A
OG3173	YMR060C	C2_02160W_A
OG3175	YJL154C	C2_05650W_A
OG3177	YGR031W	C1_10690W_A
OG3179	YBR192W	C2_04510W_A
OG3181	YNR006W	C1_00750C_A
OG3182	YDL074C	C5_00210C_A
OG3185	YHR008C	C1_01520C_A
OG3193	YMR129W	C2_00470W_A
OG3194	YCL039W	
OG3195	YPR016C	CR_07080W_A
OG3196	YPR113W	C4_05210W_A
OG3197	YAR018C	C2_10530C_A
OG3198	YOL076W	
OG3200	YKL019W	C1_09530W_A
OG3201	YMR150C	C1_03610C_A
OG3202	YOR124C	
OG3203	YER151C	
OG3204	CR_06910W_A	
OG3205	YER005W	C4_06230C_A
OG3206	YLR352W	
OG3207	YLR209C	C3_03180C_A
OG3209	YBL035C	C1_07490C_A
OG3211	YLR262C	CR_06520C_A
OG3213	YHR011W	C6_00390W_A
OG3214	YJL153C	CR_10100C_A
OG3217	YPR144C	
OG3218	YDR523C	C1_03470C_A
OG3220	YLL006W	
OG3221	YIR029W	C2_00630C_A
OG3225	YCR032W	C1_06520C_A
OG3226	YPL031C	C1_04520C_A
OG3227	YDL156W	C7_01270C_A
OG3229	YPL151C	C3_00500C_A
